2015-02-04,Black Hills,BKH,51.12,51.55,50.3,50.46
2015-02-04,BlackRock,BLK,346.54,354.33,344.95,350.78
2015-02-04,Blackstone Group,BX,37.8,37.95,37.13,37.2
2015-02-04,Blackstone Mortgage Trust Cl A,BXMT,29.4,29.4,29.15,29.21
2015-02-04,Blount International,BLT,15.43,15.81,15.42,15.65
2015-02-04,Blue Capital Reinsurance Holdings,BCRH,17.21,17.47,17.21,17.37
2015-02-04,BlueLinx Holdings,BXC,1.04,1.09,1.04,1.07
2015-02-04,BLYTH,BTH,7.56,7.82,7.56,7.69
2015-02-04,Boardwalk Pipeline Partners,BWP,15.47,15.82,15.43,15.51
2015-02-04,Boeing,BA,145.97,148.39,145.93,147.22
2015-02-04,Boise Cascade,BCC,41.1,41.52,40.17,40.94
2015-02-04,Bonanza Creek Energy,BCEI,29,29.04,27.55,28.41
2015-02-04,Boot Barn Holdings,BOOT,21.56,21.92,21.07,21.74
2015-02-04,Booz Allen Hamilton Holding,BAH,29.26,29.44,29,29.25
2015-02-04,BorgWarner,BWA,57.01,57.84,56.59,57.44
2015-02-04,Boston Beer Cl A,SAM,313.25,317.75,312.15,317.06
2015-02-04,Boston Properties,BXP,141.58,142.19,140.1,141.13
2015-02-04,Boston Scientific,BSX,15,15.28,14.87,14.96
2015-02-04,Box Cl A,BOX,18.2,18.35,17,17.1
2015-02-04,Box Ships,TEU,0.94,0.98,0.93,0.95
2015-02-04,Boyd Gaming,BYD,13.6,13.9,13.6,13.63
2015-02-04,BP ADS,BP,40.47,40.8,40.09,40.45
2015-02-04,BP Prudhoe Bay Royalty Trust,BPT,78.9,79.12,76.5,76.82
2015-02-04,BPZ Resources,BPZ,0.29,0.29,0.26,0.26
2015-02-04,Brady Cl A,BRC,27.7,27.81,27.34,27.48
2015-02-04,Brandywine Realty Trust,BDN,16.64,16.73,16.56,16.67
2015-02-04,Braskem ADS,BAK,9.44,9.59,9.21,9.31
2015-02-04,BRF ADS,BRFS,23.6,23.85,23.59,23.7
2015-02-04,Bridgepoint Education,BPI,10.6,10.61,10.47,10.51
2015-02-04,Briggs&Stratton,BGG,19.23,19.38,18.8,18.84
2015-02-04,Bright Horizons Family Solutions,BFAM,49.58,49.87,49.12,49.4
2015-02-04,Brinker International,EAT,57.83,59.9,57.83,59.64
2015-02-04,Brink's,BCO,23.52,23.57,23.24,23.35
2015-02-04,Bristol-Myers Squibb,BMY,59.51,59.75,58.76,59.24
2015-02-04,Bristow Group,BRS,58.36,59.47,57.28,57.9
2015-02-04,Brixmor Property Group,BRX,27.01,27.18,26.85,27.07
2015-02-04,Broadridge Financial Solutions,BR,49.19,49.72,49.14,49.4
2015-02-04,Brookdale Senior Living,BKD,34.6,35.05,34.49,34.93
2015-02-04,Brookfield Asset Management Cl A,BAM,51.73,51.91,51.03,51.65
2015-02-04,Brookfield Canada Office Properties,BOXC,23.08,23.34,23.08,23.32
2015-02-04,Brookfield Infrastructure Partners,BIP,42.31,44.32,42.31,43.84
2015-02-04,Brookfield Property Partners,BPY,24.41,24.86,24.11,24.38
2015-02-04,Brookfield Renewable Energy Partners,BEP,31.17,31.56,30.54,30.76
2015-02-04,Brookfield Residential Properties,BRP,24.17,24.2,24.13,24.15
2015-02-04,Brown&Brown,BRO,31.89,32.29,31.89,32.08
2015-02-04,Brown-Forman Cl A,BFA,90.08,90.83,89.66,89.69
2015-02-04,Brown-Forman Cl B,BFB,89.46,90.6,89.04,89.51
2015-02-04,Brown Shoe,BWS,29.23,29.49,28.86,29.09
